"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,52949,52949,589824,164,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",6.504716,1940408871621589,1940408871626149
2,2,"Agent 2",1,52949,52949,589824,164,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",5.922047,1940408872277314,1940408872281074
3,3,"Agent 2",1,52949,52949,393216,164,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",4.756111,1940408872361834,1940408872365074
4,4,"Agent 2",1,52949,52949,512,175,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"MeanOccupancyPerActiveCU",1.480634,1940408872425075,1940408872428435
5,5,"Agent 2",1,52949,52949,256,169,"__amd_rocclr_initHeap",256,0,0,8,0,32,"MeanOccupancyPerActiveCU",1.004092,1940408971591363,1940408971594203
6,6,"Agent 2",1,52949,52949,131072,179,"_mla_prefill_kernel",256,0,0,140,0,112,"MeanOccupancyPerActiveCU",1.000265,1940408971674603,1940408971808884
7,7,"Agent 2",1,52949,52949,131072,179,"_mla_prefill_kernel",256,0,0,140,0,112,"MeanOccupancyPerActiveCU",1.000261,1940408972357487,1940408972491648
