category,kernel_name,calls,total_ms,avg_us,stage_gpu_time_pct
MoE,_moe_partial_reduce.kd,5888,17.895,3.039,2.1763
MLA attention,_mla_reduce_project_value_kernel.kd,1536,14.761,9.610,1.7952
rmsnorm,_rmsnorm_kernel.kd,5952,13.152,2.210,1.5995
MoE,_dynamic_fp8_single_pass_kernel.kd,5888,12.214,2.074,1.4854
other,gluon_mla_normalize_project_query_gfx950.kd,1536,11.344,7.385,1.3796
other,_mla_rope_set_kv_buffer_kernel.kd,1536,10.191,6.634,1.2393
dense GEMM,gluon_bmm_a16w16_gfx950.kd,1536,8.121,5.287,0.9877
AttnRes,_attnres_partial_kernel.kd,960,7.107,7.403,0.8643
dense GEMM,_rowcta_gemv_kernel.kd,512,5.810,11.348,0.7066
dense GEMM,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x16x128_MI16x16x1_SN_LDSB1_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA1024_LBSPPB256_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT4_1_MO40_NTn1_NTA4_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK3_SKFTR0_SKXCCM8_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO0_VSn1_VWA4_VWB1_WSGRA0_WSGRB0_WS64_WG64_4_1.kd,64,3.478,54.343,0.4230
elementwise,__amd_rocclr_copyBuffer.kd,1269,3.474,2.738,0.4225
dense GEMM,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x16x64_MI16x16x1_SN_LDSB1_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA512_LBSPPB128_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT4_1_MO40_NTn1_NTA4_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK3_SKFTR0_SKXCCM8_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO0_VSn1_VWA4_VWB1_WSGRA0_WSGRB0_WS64_WG64_4_1.kd,128,2.381,18.604,0.2896
AttnRes,gluon_attn_res_fwd_gfx950.kd,64,0.874,13.662,0.1063
dense GEMM,Cijk_SB_BiasS_HAS_ScaleAlphaVec_PostGSU8_VW4.kd,128,0.527,4.120,0.0641
