"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,7342,7342,589824,82,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemUnitStalled",1.02183630e-01,2869634815153672,2869634815158152
2,2,"Agent 2",1,7342,7342,589824,82,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemUnitStalled",1.45321226e-01,2869634816232238,2869634816236118
3,3,"Agent 2",1,7342,7342,393216,82,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemUnitStalled",1.12159498e-01,2869634816385199,2869634816388479
4,4,"Agent 2",1,7342,7342,512,174,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"MemUnitStalled",9.81718193e-02,2869634816529440,2869634816533040
5,5,"Agent 2",1,7342,7342,256,169,"__amd_rocclr_initHeap",256,0,0,8,0,32,"MemUnitStalled",9.15930547e-02,2869634917810985,2869634917814265
6,6,"Agent 2",1,7342,7342,131072,179,"_mla_prefill_kernel",256,0,0,140,0,112,"MemUnitStalled",8.25844667e-03,2869634917975145,2869634918109626
7,7,"Agent 2",1,7342,7342,131072,179,"_mla_prefill_kernel",256,0,0,140,0,112,"MemUnitStalled",2.48805732e-03,2869634918664089,2869634918798049
