"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,53261,53261,589824,161,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemUnitStalled",1.33368279e-01,1940422541115145,1940422541120145
2,2,"Agent 2",1,53261,53261,589824,161,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemUnitStalled",1.17260611e-01,1940422541875910,1940422541879870
3,3,"Agent 2",1,53261,53261,393216,161,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemUnitStalled",1.26133497e-01,1940422542031271,1940422542034671
4,4,"Agent 2",1,53261,53261,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"MemUnitStalled",6.11793039e-02,1940422542185192,1940422542188592
5,5,"Agent 2",1,53261,53261,256,169,"__amd_rocclr_initHeap",256,0,0,8,0,32,"MemUnitStalled",7.56501028e-02,1940422643027708,1940422643030788
6,6,"Agent 2",1,53261,53261,131072,179,"_mla_prefill_kernel",256,0,0,140,0,112,"MemUnitStalled",7.61373885e-03,1940422643187628,1940422643321989
7,7,"Agent 2",1,53261,53261,131072,179,"_mla_prefill_kernel",256,0,0,140,0,112,"MemUnitStalled",1.41516939e-03,1940422643780232,1940422643913993
